arac_yasi,km,yillik_km,hasar_skoru,motor_hacmi_cc,motor_gucu_hp,guc_hacim_orani,cekis_enc,kimden_galeri,kimden_bayi,agir_hasarli_evet,takasa_uygun_evet,marka_enc,seri_enc,yakit_tipi_enc,vites_tipi_enc,kasa_tipi_enc,renk_enc,arac_durumu_enc,fiyat_log,fiyat
18.0,259000.0,14388.888888888889,2,1500.0,125.0,0.08333333333333333,0,1,0,0,1,66,494,4,0,5,18,3,13.217675375388819,550000.0
24.0,338000.0,14083.333333333334,7,1500.0,125.0,0.08333333333333333,0,1,0,0,1,66,494,4,0,4,2,3,12.959846800844963,425000.0
14.0,110000.0,7857.142857142857,0,1500.0,150.0,0.1,0,1,0,0,1,66,494,0,0,5,2,3,13.997832948091215,1200000.0
13.0,240000.0,18461.53846153846,2,1500.0,150.0,0.1,0,1,0,0,1,66,494,4,0,5,2,3,13.769467666582738,955000.0
12.0,245000.0,20416.666666666668,0,1598.0,112.0,0.07008760951188986,0,1,0,0,1,66,494,1,0,5,2,3,13.76316513133229,949000.0
21.0,380000.0,18095.238095238095,11,1499.0,132.0,0.07179487179487179,0,0,0,0,0,66,494,0,0,5,7,3,13.26212705890841,575000.0
16.0,104000.0,6500.0,2,1598.0,132.0,0.08260325406758448,0,1,0,0,0,66,494,4,0,5,18,3,13.7318582602184,919750.0
15.0,302000.0,20133.333333333332,3,1500.0,150.0,0.1,0,1,0,0,1,66,494,4,0,5,2,3,13.42246945133505,675000.0
17.0,190000.0,11176.470588235294,0,1598.0,132.0,0.08260325406758448,0,1,0,0,1,66,494,4,0,5,18,3,13.664688831019712,860000.0
14.0,241000.0,17214.285714285714,3,1499.0,105.0,0.07179487179487179,0,0,0,0,0,66,494,4,0,5,2,3,13.710151153416941,900000.0
12.0,178000.0,14833.333333333334,0,1598.0,112.0,0.07008760951188986,0,1,0,0,1,66,494,1,0,5,2,3,13.790193775620484,975000.0
